genyear,genmonth,genweek,genday,genweekday,genhour,cnt
2020,4,15,7,Tuesday,6,4
2020,4,15,7,Tuesday,6,4
2020,5,19,3,Sunday,21,1
2020,5,19,4,Monday,21,3
2020,5,23,31,Sunday,21,1
2020,6,27,30,Tuesday,5,1
2020,8,32,7,Friday,15,2
2020,9,37,7,Monday,11,1
2020,9,37,7,Monday,21,1
2020,9,37,7,Monday,21,1
2020,9,38,13,Sunday,21,1
2020,9,39,21,Monday,21,1
2020,9,39,21,Monday,21,1
2020,9,40,27,Sunday,21,1
2020,10,43,19,Monday,21,1
2020,10,43,19,Monday,21,1
2020,11,47,16,Monday,21,1
2020,11,47,16,Monday,21,1
2020,12,51,17,Thursday,1,1
2020,12,52,20,Sunday,21,1
2020,12,52,20,Sunday,21,1
2021,1,5,27,Wednesday,21,1
2021,2,6,2,Tuesday,21,1
2021,2,7,9,Tuesday,10,6
2021,2,7,10,Wednesday,10,4
2021,2,7,10,Wednesday,13,2
2021,2,7,11,Thursday,9,4
2021,2,8,16,Tuesday,6,1
2021,2,8,17,Wednesday,12,1
2021,2,9,25,Thursday,5,5
2021,2,9,25,Thursday,9,1
2021,3,11,12,Friday,10,8
2021,3,12,15,Monday,9,1
2021,3,14,28,Sunday,21,1
2021,3,14,31,Wednesday,1,1
2021,4,15,8,Thursday,1,1
2021,4,16,14,Wednesday,5,1
2021,4,17,20,Tuesday,6,1
2021,4,18,25,Sunday,21,1
2021,4,18,25,Sunday,21,1
2021,4,18,28,Wednesday,21,1
2021,4,18,28,Wednesday,21,1
2021,4,18,29,Thursday,1,1
2021,4,18,29,Thursday,1,1
2021,4,18,29,Thursday,21,1
2021,4,18,29,Thursday,21,1
2021,5,19,4,Tuesday,17,1
2021,5,19,6,Thursday,9,1
2021,5,19,6,Thursday,11,1
2021,5,19,6,Thursday,13,1
2021,5,19,7,Friday,5,1
2021,5,20,9,Sunday,21,1
2021,5,20,10,Monday,13,1
2021,5,20,11,Tuesday,7,3
2021,5,20,11,Tuesday,14,1
2021,5,20,12,Wednesday,13,1
2021,5,20,13,Thursday,5,1
2021,5,20,13,Thursday,6,1
2021,5,20,14,Friday,14,1
2021,5,20,15,Saturday,1,1
2021,5,21,17,Monday,8,1
2021,5,21,17,Monday,12,3
